activity_id,student_id,course_id,video_watched_min,quiz_score,assignment_score,timestamp
A000263,S038899,C013609,80,72,64,2024-12-30
A000264,S048587,C007619,10,86,1,2024-12-08
A000265,S029086,C008987,18,29,78,2024-09-01
A000266,S023602,C038821,291,4,11,2024-12-20
A000267,S031349,C013180,135,5,41,2024-12-25
A000268,S009760,C029099,162,72,25,2024-08-05
A000269,S024827,C010834,207,66,94,2024-12-29
A000270,S025807,C000570,75,41,1,2024-12-22
A000271,S016832,C025520,31,34,88,2024-12-28
A000272,S034304,C002117,55,7,27,2023-07-31
A000273,S034533,C017458,179,40,57,2024-12-13
A000274,S017689,C047593,39,37,90,2024-11-17
A000275,S008351,C008440,287,68,59,2024-11-11
A000276,S005092,C041748,31,25,40,2024-12-09
A000277,S023342,C041205,217,15,11,2024-12-11
A000278,S011527,C007079,228,50,29,2024-12-07
A000279,S035927,C015394,169,80,18,2024-07-25
A000280,S037197,C001595,56,9,68,2024-12-20
A000281,S010446,C046171,71,58,62,2024-12-26
A000282,S003071,C049929,55,38,76,2024-08-02
A000283,S035058,C039922,198,24,9,2024-12-30
A000284,S034406,C043981,104,43,50,2024-09-30
A000285,S046330,C011316,61,26,26,2024-12-30
A000286,S010257,C022771,32,71,37,2024-12-30
A000287,S011069,C004797,24,19,27,2024-12-30
A000288,S000584,C047614,223,98,29,2024-12-14
A000289,S012443,C001069,135,67,68,2024-12-19
A000290,S042320,C043549,68,53,60,2024-11-08
A000291,S034470,C044848,227,65,93,2024-12-28
A000292,S029023,C017242,258,86,27,2024-12-18
A000293,S032615,C027321,274,61,61,2024-12-30
A000294,S045995,C036128,40,59,96,2024-04-10
A000295,S021659,C027715,53,57,76,2024-11-24
A000296,S006168,C042020,281,82,66,2024-10-11
A000297,S000709,C025238,226,26,2,2024-10-25
A000298,S026837,C022083,56,41,16,2024-11-02
A000299,S042278,C018873,86,48,79,2024-09-10
A000300,S046084,C032564,75,98,52,2024-12-29
A000301,S049319,C032164,221,66,13,2024-11-20
A000302,S017955,C009336,214,8,11,2024-05-19
A000303,S016560,C034153,158,30,28,2024-03-24
A000304,S028825,C046650,126,39,40,2024-12-28
A000305,S045999,C013383,18,60,14,2024-11-26
A000306,S014905,C006973,49,74,94,2024-12-06
A000307,S002956,C026874,250,8,29,2024-12-27
A000308,S036422,C049001,27,24,74,2024-11-11
A000309,S022256,C045937,250,43,62,2024-09-25
A000310,S008055,C009084,98,99,76,2023-10-13
A000311,S013962,C016722,149,31,72,2024-12-30
A000312,S021214,C034868,255,50,31,2024-12-22
A000313,S017962,C024494,213,45,85,2024-12-02
A000314,S024930,C007745,79,79,21,2024-09-12
A000315,S043498,C040555,197,79,83,2024-12-15
A000316,S006776,C047872,147,86,3,2024-12-11
A000317,S021859,C024937,106,87,54,2024-12-11
A000318,S012430,C000115,49,29,52,2024-12-30
A000319,S027732,C029547,9,95,22,2024-12-28
A000320,S014375,C034420,249,68,54,2024-10-21
A000321,S001086,C045679,239,14,43,2024-12-16
A000322,S044322,C012591,38,65,16,2024-12-29
A000323,S037891,C022057,227,39,22,2024-12-30
A000324,S031756,C044023,208,96,50,2024-11-12
A000325,S005297,C016883,275,80,45,2023-09-12
A000326,S027358,C048337,150,44,8,2024-10-16
A000327,S013874,C018813,187,71,78,2024-10-27
A000328,S036893,C016707,148,35,93,2024-03-01
A000329,S043417,C001066,141,84,5,2024-09-19
A000330,S028603,C013137,132,15,52,2024-11-20
A000331,S044879,C040470,23,20,18,2024-12-11
A000332,S022560,C012925,242,93,37,2024-12-28
A000333,S020705,C035101,39,52,63,2024-11-29
A000334,S037702,C024805,48,49,74,2024-12-28
A000335,S005374,C015673,295,67,42,2024-07-15
A000336,S030058,C018272,50,65,65,2024-12-24
A000337,S033792,C048822,73,98,78,2024-11-18
A000338,S014699,C022401,235,75,80,2024-12-20
A000339,S004046,C027400,233,22,39,2024-12-12
A000340,S007422,C023042,295,79,56,2024-05-05
A000341,S002923,C017255,8,95,29,2024-12-30
A000342,S002558,C039070,104,44,47,2024-09-28
A000343,S035136,C013259,238,23,15,2024-01-28
A000344,S012203,C002335,159,4,73,2024-12-15
A000345,S048589,C018958,38,0,10,2024-10-28
A000346,S017289,C048138,235,75,32,2024-12-30
A000347,S016826,C024512,289,46,97,2024-08-17
A000348,S040803,C027694,248,83,89,2024-09-06
A000349,S004913,C013525,111,40,6,2024-11-23
A000350,S035692,C042135,77,82,97,2024-06-03
A000351,S039754,C033521,12,96,76,2024-05-23
A000352,S035472,C033985,164,27,50,2024-11-05
A000353,S031813,C048101,193,1,12,2024-12-25
A000354,S011169,C005668,207,20,42,2024-12-30
A000355,S041906,C017340,59,62,18,2024-11-26
A000356,S008455,C030256,293,93,7,2024-08-23
A000357,S039880,C001483,188,46,100,2024-08-24
A000358,S032921,C029926,92,10,61,2024-09-09
A000359,S013571,C007543,162,17,63,2022-10-21
A000360,S046258,C000418,72,54,93,2024-06-20
A000361,S020897,C049811,148,45,31,2024-12-26
A000362,S016368,C018053,11,80,29,2024-11-12
A000363,S036744,C008269,92,51,86,2024-12-17
A000364,S043532,C019785,263,3,16,2024-05-25
A000365,S023842,C046960,69,21,8,2024-03-19
A000366,S035800,C017954,139,92,45,2024-11-24
A000367,S013214,C037947,219,48,18,2024-12-30
A000368,S017675,C026962,256,22,87,2024-12-13
A000369,S048072,C048543,180,52,17,2024-12-25
A000370,S028802,C044318,197,25,39,2024-11-25
A000371,S033626,C045371,194,54,16,2024-11-17
A000372,S009709,C025179,142,74,2,2024-12-11
A000373,S000333,C046245,5,46,52,2024-10-10
A000374,S020772,C014374,177,28,85,2024-12-05
A000375,S037209,C042819,207,77,65,2024-12-10
A000376,S037390,C031997,235,79,25,2024-12-06
A000377,S014027,C044743,52,1,22,2024-10-12
A000378,S018887,C036271,122,95,54,2024-12-30
A000379,S003587,C049568,28,15,17,2024-10-11
A000380,S045859,C006728,190,52,91,2024-12-30
A000381,S013454,C037147,215,69,76,2024-03-05
A000382,S000231,C038901,296,5,100,2024-08-30
A000383,S025261,C042521,170,59,71,2024-12-19
A000384,S007439,C010220,222,87,11,2024-12-23
A000385,S011145,C028601,5,8,42,2024-09-11
A000386,S015356,C022448,107,47,53,2024-09-30
A000387,S020922,C042953,280,55,57,2024-08-17
A000388,S039903,C002480,158,12,9,2024-12-03
A000389,S035554,C040347,27,44,40,2024-10-28
A000390,S041354,C040966,13,9,10,2024-11-07
A000391,S033258,C021070,166,85,4,2024-11-03
A000392,S027407,C003978,193,83,86,2024-08-31
A000393,S030660,C013695,172,9,21,2024-12-16
A000394,S017873,C022031,223,77,7,2024-06-16
A000395,S000764,C038745,186,46,40,2024-10-29
A000396,S039433,C046904,188,8,91,2024-10-07
A000397,S030929,C026219,138,99,90,2024-12-18
A000398,S025583,C017001,238,33,97,2024-08-23
A000399,S036570,C021635,14,41,18,2024-12-29
A000400,S023123,C018138,223,3,2,2024-12-29
A000401,S000456,C001913,137,95,69,2024-11-30
A000402,S012552,C044519,169,35,82,2024-12-29
A000403,S013693,C002139,242,82,97,2024-12-30
A000404,S030514,C035496,269,24,26,2024-07-26
A000405,S033233,C004996,69,89,43,2024-12-06
A000406,S025395,C004581,210,98,7,2024-12-10
A000407,S026523,C008527,129,18,29,2024-05-30
A000408,S003230,C029706,128,21,49,2024-11-15
A000409,S024565,C014688,57,1,3,2024-09-16
A000410,S027718,C012788,261,26,92,2024-12-30
A000411,S049959,C003614,92,88,74,2024-12-03
A000412,S038728,C009302,153,74,99,2024-12-11
A000413,S020769,C034732,202,94,78,2024-12-29
A000414,S004094,C018773,192,13,64,2024-11-24
A000415,S044038,C024516,65,88,30,2024-11-22
A000416,S003395,C031302,50,8,9,2024-11-19
A000417,S032025,C022289,9,40,36,2024-12-12
A000418,S002841,C035315,277,43,78,2024-10-28
A000419,S035646,C019668,275,25,8,2024-12-18
A000420,S033989,C031470,166,95,83,2024-12-02
A000421,S043516,C039956,261,69,59,2024-12-25
A000422,S016217,C020005,253,28,97,2024-11-27
A000423,S014477,C046784,18,47,32,2024-12-30
A000424,S042922,C029035,181,35,97,2023-12-25
A000425,S012444,C012152,201,91,61,2024-08-01
A000426,S037616,C047076,289,5,76,2024-12-29
A000427,S040199,C042906,21,25,14,2024-11-28
A000428,S039488,C045741,194,81,43,2024-07-29
A000429,S045967,C043511,42,63,54,2024-08-08
A000430,S034645,C011470,92,15,23,2023-12-24
A000431,S013328,C043750,270,37,67,2024-12-17
A000432,S035787,C049117,135,82,29,2024-10-20
A000433,S039244,C015891,87,35,68,2024-11-19
A000434,S022891,C017221,61,18,40,2024-12-21
A000435,S046457,C033318,264,68,46,2024-12-19
A000436,S003016,C028318,168,74,11,2024-11-02
A000437,S025671,C011592,119,29,16,2024-12-12
A000438,S026873,C016688,171,15,16,2024-06-09
A000439,S026159,C048543,290,24,30,2024-12-27
A000440,S010586,C005881,168,29,9,2024-11-15
A000441,S049276,C000861,293,1,79,2024-12-30
A000442,S040134,C020027,66,36,87,2024-11-17
A000443,S006865,C019707,267,48,36,2024-12-23
A000444,S032160,C048264,243,1,26,2024-12-29
A000445,S006739,C012671,262,36,78,2024-07-09
A000446,S032281,C014813,11,71,15,2024-12-30
A000447,S019546,C033065,48,72,9,2024-12-22
A000448,S048642,C046730,274,98,46,2024-12-01
A000449,S033620,C003201,201,44,65,2024-12-27
A000450,S016580,C002970,240,20,86,2024-09-06
A000451,S021452,C002569,196,80,84,2024-12-03
A000452,S029441,C027637,255,2,97,2023-12-29
A000453,S046522,C037209,73,35,30,2024-12-21
A000454,S018791,C023326,90,41,60,2023-02-06
A000455,S007323,C000991,237,40,62,2024-12-26
A000456,S013292,C006715,227,66,64,2024-11-29
A000457,S005424,C017728,44,10,25,2024-08-31
A000458,S005996,C046401,134,0,48,2024-10-26
A000459,S002175,C031382,66,25,39,2024-10-19
A000460,S038830,C023415,88,21,62,2024-12-07
A000461,S030802,C027951,202,47,78,2024-12-21
A000462,S003930,C036377,221,13,45,2024-12-23
A000463,S002687,C028702,183,95,61,2024-04-21
A000464,S034654,C040014,179,92,94,2024-07-27
A000465,S016157,C029383,112,42,32,2024-12-09
A000466,S028717,C033836,29,57,91,2024-07-16
A000467,S003134,C048605,269,30,58,2024-12-12
A000468,S047723,C022326,264,79,69,2024-12-05
A000469,S022205,C039009,61,29,34,2024-12-01
A000470,S041646,C006250,299,52,71,2024-12-22
A000471,S025674,C034306,257,29,84,2024-11-29
A000472,S039832,C005515,131,44,28,2024-11-29
A000473,S034310,C043551,78,41,85,2024-11-30
A000474,S014761,C004065,95,74,86,2024-12-24
A000475,S030605,C044902,32,27,7,2023-04-12
A000476,S026093,C047241,234,82,20,2024-06-23
A000477,S049762,C008208,145,39,72,2024-08-16
A000478,S022400,C038015,35,22,78,2024-12-17
A000479,S035733,C038084,52,12,25,2024-12-18
A000480,S016027,C032596,282,67,94,2024-12-27
A000481,S016709,C044910,202,64,41,2024-12-05
A000482,S031050,C040409,36,98,26,2024-09-06
A000483,S048466,C033074,41,97,38,2024-12-18
A000484,S043775,C033817,234,53,46,2024-12-28
A000485,S046667,C031844,117,55,34,2024-12-18
A000486,S023608,C025842,51,92,10,2024-12-19
A000487,S042856,C002396,22,44,35,2024-09-10
A000488,S014508,C025489,45,50,87,2024-12-18
A000489,S023174,C004961,298,20,70,2024-12-13
A000490,S034970,C034300,186,78,25,2024-12-24
A000491,S037527,C020300,66,51,88,2024-12-27
A000492,S021398,C021067,123,100,97,2023-05-16
A000493,S026582,C027940,150,72,73,2024-10-25
A000494,S026021,C008004,76,66,68,2024-07-26
A000495,S021948,C045570,185,1,63,2024-12-09
A000496,S023502,C008617,213,35,52,2024-11-20
A000497,S030995,C004978,4,11,47,2024-10-16
A000498,S026852,C015873,294,41,53,2024-11-26
A000499,S042422,C006615,225,22,37,2024-05-21
A000500,S034291,C043240,97,9,62,2023-08-01
A000501,S001008,C017373,173,29,28,2024-12-29
A000502,S015740,C008922,19,90,19,2024-12-07
A000503,S004992,C015629,210,53,41,2024-09-05
A000504,S035054,C008490,189,88,33,2024-11-07
A000505,S044216,C039206,6,41,1,2024-12-29
A000506,S039692,C045633,272,81,48,2024-12-30
A000507,S043797,C038070,144,11,100,2024-11-08
A000508,S032982,C045433,207,19,67,2024-08-17
A000509,S001443,C037609,223,92,86,2024-11-29
A000510,S047053,C044121,213,69,90,2023-11-06
A000511,S020981,C026966,118,95,92,2024-12-08
A000512,S022302,C028687,159,42,7,2024-08-02
A000513,S023052,C006932,56,17,28,2024-11-26
A000514,S020506,C048649,268,37,65,2024-12-21
A000515,S004240,C045272,218,32,45,2024-12-28
A000516,S023584,C036245,273,39,79,2024-11-26
A000517,S031071,C006174,287,60,88,2024-11-09
A000518,S042109,C021601,137,6,94,2024-12-12
A000519,S036651,C003490,123,83,39,2024-12-17
A000520,S035750,C032708,149,28,90,2024-10-06
A000521,S047454,C031349,239,99,1,2024-11-26
A000522,S010713,C040002,49,53,88,2024-06-14
A000523,S004595,C031913,108,80,34,2024-12-14
A000524,S037211,C015736,298,11,92,2024-11-30
A000525,S017963,C016041,29,50,79,2024-08-09
A000526,S041126,C032872,106,1,78,2024-10-19
A000527,S033982,C020582,203,17,54,2024-12-20
A000528,S004292,C023744,167,54,22,2024-12-17
A000529,S028120,C016652,178,100,68,2024-12-12
A000530,S047383,C005716,203,54,40,2024-10-26
A000531,S029955,C039773,23,11,59,2024-11-20
A000532,S044360,C021120,93,9,92,2024-03-05
A000533,S017289,C048957,219,72,83,2024-09-20
A000534,S010515,C007326,289,91,91,2024-11-07
A000535,S031231,C019728,226,22,40,2024-12-04
A000536,S006418,C038387,190,28,73,2024-11-13
A000537,S048053,C035855,123,61,37,2024-02-26
A000538,S049003,C022910,33,94,1,2024-08-03
A000539,S007159,C027112,13,14,59,2024-12-22
A000540,S011725,C035204,2,12,71,2024-12-14
A000541,S000625,C015647,174,58,65,2024-12-06
A000542,S012063,C023837,240,31,100,2024-12-26
A000543,S012107,C011686,96,34,31,2024-12-30
A000544,S040608,C047061,281,19,29,2024-11-26
A000545,S018934,C005966,0,8,79,2024-02-29
A000546,S009831,C034366,91,44,13,2024-12-09
A000547,S033806,C019662,217,16,43,2024-06-25
A000548,S009710,C019931,83,41,62,2024-12-03
A000549,S010564,C019578,203,28,46,2024-03-17
A000550,S031035,C015299,4,84,10,2024-12-26
A000551,S014211,C017763,267,78,17,2024-11-05
A000552,S040209,C005706,238,77,95,2023-12-04
A000553,S015489,C033276,282,50,54,2024-10-08
A000554,S036784,C044958,284,90,91,2024-11-17
A000555,S049764,C004080,113,79,97,2024-12-29
A000556,S027456,C002503,263,34,14,2024-11-18
A000557,S049098,C046402,155,93,78,2024-05-04
