enrollment_id,student_id,course_id,enrollment_date,status,progress_percent
E000095,S025184,C008029,2024-04-27,Completed,48
E000096,S010633,C027498,2024-10-12,Active,63
E000097,S046547,C041013,2024-02-26,Completed,62
E000098,S002774,C036358,2024-11-14,Active,56
E000099,S009239,C033481,2024-10-29,Dropped,84
E000100,S027950,C042872,2024-11-14,Completed,63
E000101,S024188,C030635,2024-04-21,Dropped,54
E000102,S020158,C030278,2024-12-22,Active,58
E000103,S042571,C044997,2024-05-21,Active,70
E000104,S013489,C049157,2024-11-01,Dropped,55
E000105,S040439,C012613,2024-10-01,Completed,78
E000106,S018404,C006802,2023-11-03,Dropped,27
E000107,S043206,C002968,2024-04-06,Completed,17
E000108,S005141,C015314,2023-07-05,Dropped,91
E000109,S035705,C039572,2023-08-18,Completed,68
E000110,S007310,C017708,2023-12-04,Completed,57
E000111,S003763,C043118,2023-09-17,Completed,16
E000112,S048547,C009183,2024-10-12,Dropped,25
E000113,S035105,C038226,2024-04-23,Completed,9
E000114,S026981,C026758,2024-04-22,Completed,73
E000115,S001162,C005592,2024-10-29,Dropped,28
E000116,S046468,C004764,2024-10-02,Active,29
E000117,S031288,C043279,2024-11-19,Dropped,83
E000118,S012454,C044045,2023-10-11,Dropped,9
E000119,S024462,C014891,2023-03-15,Completed,50
E000120,S043583,C024208,2023-12-18,Completed,79
E000121,S018727,C027332,2022-10-23,Dropped,47
E000122,S012617,C001470,2024-11-25,Active,23
E000123,S041071,C024062,2023-11-25,Completed,33
E000124,S011681,C027386,2024-12-24,Dropped,22
E000125,S022991,C041478,2024-12-18,Active,93
E000126,S019140,C032882,2024-04-04,Active,83
E000127,S013300,C030625,2024-12-26,Dropped,6
E000128,S021091,C044304,2024-11-29,Completed,45
E000129,S028768,C030985,2023-11-27,Active,70
E000130,S015225,C038336,2024-04-16,Completed,54
E000131,S021374,C031414,2024-12-30,Active,97
E000132,S035702,C036142,2024-04-09,Dropped,100
E000133,S032532,C002913,2024-12-24,Dropped,35
E000134,S011666,C043501,2024-10-29,Active,82
E000135,S037258,C012401,2024-08-24,Dropped,33
E000136,S022547,C018910,2024-12-08,Completed,29
E000137,S021889,C038537,2024-12-23,Active,77
E000138,S002664,C034912,2024-12-28,Active,2
E000139,S019734,C007638,2022-12-17,Dropped,30
E000140,S026793,C031614,2024-11-19,Dropped,28
E000141,S014561,C036530,2024-12-30,Completed,86
E000142,S034676,C030137,2024-06-30,Dropped,32
E000143,S026938,C022314,2024-12-15,Dropped,29
E000144,S044676,C026401,2024-11-08,Dropped,74
E000145,S045285,C045629,2024-06-05,Completed,83
E000146,S021179,C008569,2024-05-22,Dropped,94
E000147,S043684,C025372,2023-11-10,Dropped,99
E000148,S011281,C014426,2024-07-02,Dropped,36
E000149,S047561,C037821,2023-06-27,Dropped,53
E000150,S042119,C039295,2024-10-28,Completed,79
E000151,S040504,C018453,2022-03-06,Dropped,69
E000152,S029449,C016165,2024-12-27,Dropped,85
E000153,S015307,C023931,2024-09-21,Active,28
E000154,S035759,C049454,2024-07-24,Completed,90
E000155,S028255,C006076,2024-07-25,Completed,2
E000156,S022744,C020701,2024-06-15,Active,57
E000157,S026370,C040879,2024-11-19,Active,73
E000158,S037698,C033040,2024-10-26,Completed,24
E000159,S024176,C031518,2024-12-29,Active,28
E000160,S048281,C026370,2024-06-23,Active,18
E000161,S011060,C034355,2024-11-28,Active,97
E000162,S033399,C004713,2024-08-30,Active,49
E000163,S016249,C049247,2024-10-27,Dropped,68
E000164,S022357,C015121,2024-03-25,Active,45
E000165,S047650,C001646,2024-07-12,Active,8
E000166,S032252,C035930,2023-07-20,Completed,4
E000167,S042357,C020476,2024-02-18,Completed,92
E000168,S001136,C046598,2024-12-26,Dropped,94
E000169,S021912,C000983,2024-04-11,Active,40
E000170,S041320,C028671,2024-11-01,Dropped,7
E000171,S000358,C010297,2024-12-22,Completed,45
E000172,S011226,C004486,2024-11-23,Dropped,6
E000173,S042290,C030469,2024-07-21,Completed,49
E000174,S011559,C022308,2024-11-16,Dropped,31
E000175,S000596,C008966,2024-09-27,Completed,7
E000176,S009766,C047949,2024-05-08,Completed,86
E000177,S018110,C030714,2022-05-26,Dropped,73
E000178,S020409,C019791,2024-07-17,Active,75
E000179,S046432,C044178,2024-03-15,Completed,74
E000180,S027203,C026358,2024-12-19,Dropped,19
E000181,S043204,C007166,2024-08-04,Active,91
E000182,S046552,C033225,2024-10-08,Active,16
E000183,S027534,C040665,2024-06-24,Active,24
E000184,S012105,C012636,2024-10-21,Completed,47
E000185,S027964,C044676,2024-11-22,Active,84
E000186,S021261,C000841,2024-11-15,Dropped,55
E000187,S032083,C005223,2024-12-30,Dropped,15
E000188,S025113,C015684,2024-08-09,Dropped,53
E000189,S039315,C006196,2024-11-20,Dropped,82
E000190,S035893,C041922,2024-11-15,Completed,3
E000191,S044525,C047765,2024-09-07,Active,14
E000192,S012875,C016002,2024-12-12,Active,39
E000193,S024728,C011673,2021-12-29,Active,47
E000194,S036076,C023332,2024-07-27,Active,77
E000195,S033824,C014612,2024-02-10,Dropped,56
E000196,S000646,C038077,2024-12-02,Dropped,50
E000197,S012255,C002016,2024-10-05,Completed,4
E000198,S018159,C011584,2024-05-31,Active,79
E000199,S015864,C037390,2023-12-03,Active,59
E000200,S039598,C012533,2024-06-18,Dropped,65
E000201,S029198,C006670,2024-11-24,Active,64
E000202,S001416,C038755,2023-12-27,Completed,81
E000203,S024748,C002713,2024-12-22,Active,89
E000204,S020477,C041320,2024-12-09,Active,58
E000205,S020608,C025610,2024-06-07,Active,99
E000206,S005183,C008947,2024-10-09,Active,9
E000207,S044650,C049101,2024-02-01,Completed,42
E000208,S037779,C017732,2024-09-17,Dropped,87
E000209,S034634,C015039,2024-09-06,Active,54
E000210,S009120,C022067,2024-02-11,Dropped,1
E000211,S026914,C041432,2024-09-05,Completed,82
E000212,S036889,C027441,2024-10-30,Active,2
E000213,S002462,C034257,2024-12-25,Completed,61
E000214,S006805,C008993,2024-11-13,Completed,4
E000215,S031970,C025332,2024-04-03,Active,0
E000216,S014203,C017903,2024-11-01,Active,21
E000217,S023023,C032386,2024-08-12,Dropped,78
E000218,S034637,C009553,2024-10-05,Completed,25
E000219,S045970,C045232,2024-11-19,Active,59
E000220,S036984,C046335,2024-06-15,Active,29
E000221,S015908,C011078,2024-08-31,Dropped,69
E000222,S040913,C022271,2024-10-19,Completed,81
E000223,S033942,C029783,2024-12-15,Dropped,21
E000224,S005014,C015391,2024-09-26,Active,50
E000225,S042927,C041998,2024-03-29,Active,22
E000226,S048876,C002841,2024-12-22,Completed,36
E000227,S020835,C028108,2024-11-14,Completed,20
E000228,S008762,C020086,2023-10-02,Active,96
E000229,S023345,C038104,2024-11-19,Completed,92
E000230,S018055,C046130,2024-01-29,Completed,23
E000231,S006560,C021193,2024-12-05,Active,91
E000232,S046816,C048635,2023-04-23,Completed,98
E000233,S037372,C014041,2023-12-10,Active,14
E000234,S042636,C034546,2024-05-15,Dropped,51
E000235,S029160,C009921,2024-07-08,Completed,99
E000236,S008641,C032455,2024-12-08,Dropped,17
E000237,S045839,C029830,2024-12-07,Dropped,30
E000238,S024518,C027919,2024-11-16,Active,16
E000239,S009292,C044104,2024-12-24,Active,93
E000240,S042013,C022828,2024-08-20,Completed,16
E000241,S007918,C049202,2024-11-23,Active,67
E000242,S008522,C042373,2024-02-05,Active,54
E000243,S032373,C008494,2024-09-18,Completed,80
E000244,S032235,C040630,2024-08-01,Completed,94
E000245,S001545,C039749,2024-02-16,Completed,16
E000246,S049589,C006818,2024-06-21,Active,85
E000247,S016384,C030951,2024-11-02,Active,66
E000248,S028471,C013626,2024-12-03,Completed,20
E000249,S030854,C043638,2024-07-31,Dropped,96
E000250,S021244,C027219,2023-06-21,Completed,67
E000251,S017994,C032788,2024-08-12,Completed,45
E000252,S041409,C041939,2024-10-15,Completed,79
E000253,S000949,C027601,2024-11-19,Active,17
E000254,S008646,C023721,2024-05-26,Dropped,44
E000255,S026967,C002169,2024-11-21,Dropped,22
E000256,S025035,C005171,2024-09-27,Dropped,74
E000257,S020656,C021670,2023-09-22,Completed,76
E000258,S046241,C013065,2024-10-30,Dropped,91
E000259,S045802,C021450,2023-11-28,Completed,59
E000260,S047899,C049671,2024-09-23,Active,20
E000261,S011383,C043078,2024-01-21,Completed,88
E000262,S032919,C015414,2024-11-22,Active,95
E000263,S022133,C032947,2024-01-17,Completed,76
E000264,S049041,C019225,2024-11-15,Dropped,91
E000265,S020304,C048107,2024-12-16,Active,13
E000266,S008148,C040652,2022-04-12,Completed,50
E000267,S047691,C027213,2023-04-12,Active,81
E000268,S038248,C017388,2024-06-12,Completed,16
E000269,S018984,C008166,2024-12-27,Active,58
E000270,S048520,C001454,2024-11-28,Completed,78
E000271,S010576,C044158,2024-12-16,Dropped,15
E000272,S010954,C003689,2023-01-25,Dropped,15
E000273,S022442,C006667,2024-09-30,Dropped,7
E000274,S013675,C038404,2024-12-30,Dropped,4
E000275,S013306,C039908,2024-06-25,Active,17
E000276,S005605,C018075,2024-12-21,Dropped,58
E000277,S005208,C040218,2024-09-16,Completed,33
E000278,S040420,C010636,2023-07-05,Completed,46
E000279,S043295,C006557,2023-11-13,Active,46
E000280,S040743,C024942,2024-09-12,Active,4
E000281,S003390,C027369,2024-06-24,Dropped,32
E000282,S025608,C018603,2022-09-16,Dropped,100
E000283,S001827,C040840,2024-11-26,Completed,52
E000284,S031379,C041125,2024-12-06,Completed,82
E000285,S012945,C012932,2024-07-23,Active,43
E000286,S022011,C007701,2024-11-13,Completed,87
E000287,S019720,C039169,2024-12-24,Active,61
E000288,S045609,C013079,2024-11-13,Completed,53
E000289,S015576,C033830,2024-12-27,Active,67
E000290,S017207,C026646,2023-06-09,Active,20
E000291,S031508,C018327,2024-10-06,Dropped,80
E000292,S016489,C020512,2024-05-07,Dropped,97
E000293,S011164,C033655,2024-11-28,Completed,75
E000294,S013750,C033576,2024-11-07,Active,66
E000295,S030878,C014224,2024-06-18,Active,30
E000296,S014964,C002270,2024-11-24,Dropped,50
E000297,S026685,C047159,2023-07-22,Completed,67
E000298,S028093,C019624,2024-12-29,Dropped,92
E000299,S021653,C021321,2024-11-23,Dropped,32
E000300,S008126,C041088,2024-08-31,Dropped,100
E000301,S047549,C002109,2024-09-27,Dropped,33
E000302,S021279,C049442,2024-12-28,Completed,51
E000303,S027607,C026536,2024-12-24,Completed,12
E000304,S004912,C001206,2023-11-19,Completed,73
E000305,S017422,C048771,2024-12-11,Active,47
E000306,S049020,C006613,2024-12-29,Active,39
E000307,S019422,C016280,2023-07-03,Completed,56
E000308,S047783,C002155,2024-04-05,Dropped,81
E000309,S026162,C046835,2024-09-18,Completed,32
E000310,S047326,C028480,2024-12-24,Active,64
E000311,S040434,C026128,2024-12-07,Active,30
E000312,S013205,C014271,2024-10-01,Completed,94
E000313,S022611,C044288,2024-06-26,Completed,14
E000314,S016607,C039546,2024-11-05,Active,43
E000315,S047433,C004980,2024-08-19,Completed,40
E000316,S042188,C048189,2024-12-07,Dropped,38
E000317,S047522,C011624,2024-08-25,Completed,97
E000318,S037627,C031083,2024-12-11,Active,80
E000319,S048063,C013030,2023-08-14,Active,18
E000320,S009922,C038598,2023-01-06,Dropped,84
E000321,S035151,C015615,2023-01-14,Completed,50
E000322,S020787,C033862,2022-10-06,Active,42
E000323,S047730,C035332,2024-09-27,Dropped,22
E000324,S010425,C000485,2024-05-12,Completed,36
E000325,S022775,C048884,2024-12-16,Dropped,34
E000326,S021426,C021739,2024-12-16,Completed,17
E000327,S038255,C011806,2024-05-20,Active,17
E000328,S015667,C006561,2024-09-28,Completed,28
E000329,S048069,C020741,2024-11-13,Completed,3
E000330,S042925,C015346,2024-12-09,Dropped,3
E000331,S045327,C040175,2024-12-06,Active,45
E000332,S021520,C001214,2024-03-18,Dropped,81
E000333,S044195,C030292,2024-05-17,Active,24
E000334,S044199,C011383,2024-12-25,Active,38
E000335,S028552,C017096,2024-08-30,Completed,81
E000336,S014604,C022721,2024-10-12,Completed,84
E000337,S022872,C004777,2023-04-09,Active,36
E000338,S025253,C046614,2024-05-22,Active,2
E000339,S031004,C011825,2023-03-23,Completed,72
E000340,S006486,C039791,2024-11-17,Dropped,95
E000341,S030143,C036124,2024-12-29,Active,93
E000342,S048907,C020619,2024-07-21,Active,60
E000343,S034580,C010446,2024-11-04,Completed,62
E000344,S039453,C021753,2024-07-14,Dropped,43
E000345,S020461,C043255,2024-07-23,Active,99
E000346,S023042,C007905,2024-12-26,Active,84
E000347,S027075,C026069,2024-04-25,Active,89
E000348,S042474,C040053,2024-12-18,Dropped,94
E000349,S017228,C019459,2024-08-04,Dropped,94
E000350,S032378,C024354,2023-01-14,Active,79
E000351,S003730,C022077,2024-04-12,Completed,26
E000352,S014705,C031940,2024-12-18,Dropped,66
E000353,S025391,C005898,2024-11-21,Active,60
E000354,S029485,C048989,2023-07-27,Completed,36
E000355,S029384,C013768,2024-10-19,Active,75
E000356,S006950,C014227,2023-12-17,Completed,18
E000357,S049532,C049463,2023-11-24,Completed,5
E000358,S047722,C017186,2022-12-03,Completed,28
E000359,S028232,C037942,2024-10-03,Active,19
E000360,S033415,C048356,2023-08-23,Completed,10
E000361,S002124,C047105,2023-02-13,Dropped,6
E000362,S005798,C002674,2024-12-15,Completed,62
E000363,S002928,C022409,2024-02-10,Active,3
E000364,S001845,C041974,2024-06-04,Active,72
E000365,S015575,C037682,2024-12-22,Active,71
E000366,S016395,C043076,2024-12-05,Dropped,74
E000367,S027737,C038225,2024-07-27,Active,86
E000368,S014092,C025045,2024-11-26,Active,34
E000369,S017344,C018052,2024-12-01,Completed,27
E000370,S002550,C034551,2024-07-06,Dropped,91
E000371,S033821,C030919,2024-12-21,Completed,91
E000372,S037646,C017840,2024-12-01,Completed,84
E000373,S014399,C007648,2024-12-22,Active,65
E000374,S027823,C008556,2024-07-07,Completed,46
E000375,S041317,C030138,2024-11-25,Completed,77
E000376,S022396,C046654,2024-06-23,Active,22
E000377,S041593,C023673,2024-12-04,Completed,19
E000378,S010514,C020441,2024-12-10,Dropped,65
E000379,S001509,C010471,2024-10-25,Dropped,3
E000380,S015512,C046788,2024-08-24,Completed,60
E000381,S002369,C035924,2024-09-24,Active,64
E000382,S048976,C027476,2023-09-10,Completed,88
E000383,S046899,C012714,2023-04-18,Dropped,15
E000384,S029424,C043637,2024-09-03,Completed,51
E000385,S021683,C008150,2024-03-18,Completed,17
E000386,S049689,C016932,2024-06-24,Completed,50
E000387,S001001,C027335,2024-12-18,Dropped,28
E000388,S023260,C045892,2024-11-27,Dropped,16
E000389,S049742,C040676,2024-12-07,Active,67
E000390,S007375,C033367,2024-01-11,Completed,77
E000391,S028170,C019454,2022-01-04,Completed,43
E000392,S021527,C029231,2024-06-27,Active,19
E000393,S049448,C006289,2024-12-26,Completed,78
E000394,S025830,C034434,2024-11-15,Dropped,66
E000395,S020458,C009414,2024-03-26,Active,81
E000396,S010152,C006211,2024-11-21,Completed,49
E000397,S007969,C026011,2024-01-16,Dropped,98
E000398,S000946,C017738,2024-12-03,Active,32
E000399,S036192,C022271,2024-03-22,Dropped,39
E000400,S026262,C010272,2024-08-16,Dropped,36
E000401,S007177,C028248,2024-12-28,Dropped,19
E000402,S038580,C038786,2024-08-06,Active,43
E000403,S008615,C000461,2024-11-12,Completed,38
E000404,S009299,C049882,2024-04-21,Completed,94
E000405,S016776,C038781,2024-05-02,Dropped,91
E000406,S028714,C028057,2024-03-30,Completed,29
E000407,S004796,C023705,2024-12-21,Dropped,47
E000408,S007059,C039597,2024-08-10,Dropped,98
E000409,S035654,C023718,2024-05-31,Dropped,74
E000410,S018480,C030292,2024-11-01,Dropped,63
E000411,S004438,C024082,2024-12-13,Dropped,32
E000412,S018180,C003792,2023-04-06,Dropped,73
E000413,S014505,C034975,2024-11-30,Completed,45
E000414,S016235,C044714,2024-10-01,Dropped,27
E000415,S033565,C037446,2024-12-04,Completed,44
E000416,S004527,C018727,2024-11-10,Completed,42
E000417,S037185,C022610,2024-10-08,Active,89
E000418,S032541,C027237,2024-02-17,Active,72
E000419,S027489,C013267,2024-09-06,Completed,59
E000420,S033076,C005985,2024-12-17,Completed,38
E000421,S004244,C020756,2024-10-24,Completed,89
E000422,S017546,C017708,2023-11-19,Dropped,6
E000423,S047963,C024859,2024-12-09,Completed,33
E000424,S043933,C024383,2024-11-05,Dropped,92
E000425,S009184,C028180,2024-03-27,Completed,30
E000426,S017823,C005960,2024-12-05,Dropped,4
E000427,S046537,C033556,2024-04-11,Active,22
E000428,S024338,C007565,2024-08-27,Dropped,51
E000429,S023551,C033361,2024-10-29,Active,78
E000430,S027053,C010547,2024-10-21,Completed,34
E000431,S001969,C038249,2024-11-04,Dropped,80
E000432,S027281,C026637,2024-03-04,Active,51
E000433,S015067,C041222,2024-04-14,Active,14
E000434,S033244,C023516,2023-12-05,Active,3
E000435,S015845,C013920,2024-07-05,Dropped,41
E000436,S026983,C041642,2023-11-19,Completed,54
E000437,S038816,C020130,2024-12-23,Dropped,20
E000438,S004332,C015616,2024-12-30,Active,3
E000439,S029370,C047724,2023-07-31,Completed,69
E000440,S017894,C032660,2024-11-10,Active,23
E000441,S016601,C017761,2022-08-13,Dropped,84
E000442,S013022,C002053,2024-08-18,Completed,50
E000443,S048528,C042151,2024-10-15,Dropped,3
E000444,S035075,C022804,2024-12-26,Dropped,13
E000445,S011468,C006354,2024-12-23,Dropped,99
E000446,S030515,C001089,2024-06-26,Active,65
E000447,S001235,C013789,2024-11-24,Completed,8
E000448,S048090,C003825,2024-09-30,Active,9
E000449,S024145,C019704,2024-01-13,Active,80
E000450,S014011,C021868,2024-07-21,Active,3
E000451,S002539,C030506,2024-12-28,Dropped,26
E000452,S002806,C000026,2024-11-22,Completed,62
E000453,S029667,C031620,2024-03-14,Active,38
E000454,S028654,C031333,2024-07-05,Completed,87
E000455,S042371,C002264,2024-10-12,Dropped,65
E000456,S004240,C046490,2024-12-07,Completed,55
E000457,S028915,C029875,2024-10-07,Active,20
E000458,S047797,C013623,2024-11-20,Dropped,10
E000459,S024448,C040758,2024-08-14,Dropped,13
E000460,S049413,C025020,2024-11-11,Completed,18
E000461,S028466,C001470,2024-07-09,Dropped,71
E000462,S012485,C014484,2024-09-20,Completed,21
E000463,S013736,C020316,2024-11-21,Active,23
E000464,S042474,C025581,2024-10-12,Completed,93
E000465,S002334,C036159,2024-08-28,Dropped,17
E000466,S032479,C001997,2024-09-21,Dropped,78
E000467,S010076,C048814,2024-12-17,Completed,90
E000468,S032458,C028587,2024-12-21,Completed,54
E000469,S032481,C004119,2024-12-02,Completed,59
E000470,S042375,C031404,2024-07-15,Completed,15
E000471,S043315,C008318,2024-04-07,Dropped,28
E000472,S025853,C021290,2024-09-18,Active,8
E000473,S010244,C017733,2024-05-26,Completed,60
E000474,S011311,C026530,2024-12-28,Active,16
E000475,S045175,C004241,2024-11-26,Completed,58
E000476,S042371,C033316,2024-12-23,Completed,73
E000477,S030743,C015598,2024-12-18,Active,95
E000478,S032493,C040067,2024-09-28,Dropped,54
E000479,S032908,C046175,2024-09-10,Completed,24
E000480,S040510,C045674,2024-08-18,Active,37
E000481,S047456,C040844,2024-08-02,Active,95
E000482,S020966,C001333,2024-12-29,Dropped,71
E000483,S031592,C011831,2024-10-14,Dropped,81
E000484,S022474,C004382,2024-12-24,Active,31
E000485,S014412,C035726,2024-12-06,Dropped,16
E000486,S006942,C040521,2023-08-25,Dropped,94
E000487,S041964,C004832,2024-10-21,Active,87
E000488,S049903,C048282,2024-10-20,Dropped,40
E000489,S035789,C038140,2024-12-08,Active,2
E000490,S016098,C010065,2024-09-06,Dropped,83
E000491,S016602,C049522,2024-07-08,Dropped,20
E000492,S038350,C049718,2023-06-24,Completed,41
E000493,S045182,C039624,2024-03-25,Active,23
E000494,S003135,C034980,2024-06-22,Active,91
E000495,S045852,C017333,2024-12-13,Dropped,32
E000496,S017262,C023108,2024-12-02,Active,91
E000497,S001863,C009998,2024-10-19,Completed,10
E000498,S002742,C048837,2024-11-04,Dropped,32
E000499,S011040,C041873,2024-09-11,Dropped,67
E000500,S020582,C040237,2023-12-27,Active,55
E000501,S021385,C022294,2024-07-30,Completed,45
E000502,S024615,C043526,2024-02-29,Active,90
E000503,S042824,C032471,2024-12-30,Dropped,10
E000504,S049660,C012101,2024-10-24,Dropped,62
E000505,S037907,C028333,2024-10-06,Active,26
E000506,S037106,C007048,2024-12-10,Active,43
E000507,S042060,C019891,2022-07-05,Active,87
E000508,S031487,C006771,2024-12-23,Dropped,6
E000509,S000766,C035190,2024-12-09,Dropped,0
E000510,S028609,C000986,2024-12-08,Completed,54
E000511,S010733,C046168,2024-08-07,Active,87
E000512,S016131,C036295,2024-09-01,Dropped,95
E000513,S038011,C024471,2024-09-13,Completed,66
E000514,S021899,C000292,2024-12-03,Active,40
E000515,S040954,C035133,2024-12-01,Dropped,2
E000516,S022133,C014726,2024-10-12,Dropped,71
E000517,S016791,C031308,2024-12-28,Completed,28
E000518,S017051,C019718,2023-12-05,Dropped,55
E000519,S028936,C003163,2023-12-14,Active,37
E000520,S037420,C041578,2024-09-21,Dropped,22
E000521,S046918,C006051,2023-02-06,Dropped,6
E000522,S049983,C022400,2024-12-27,Dropped,97
E000523,S004394,C024086,2024-06-07,Active,11
E000524,S017061,C013497,2024-12-19,Dropped,96
E000525,S047932,C049955,2023-03-10,Completed,27
E000526,S046442,C024298,2024-10-24,Active,36
E000527,S034614,C022700,2024-11-26,Dropped,96
E000528,S015215,C006777,2024-12-12,Active,67
E000529,S042939,C030466,2024-12-30,Active,17
E000530,S020826,C009781,2024-11-18,Completed,89
E000531,S014030,C014776,2024-12-19,Active,11
E000532,S048283,C009376,2024-09-15,Completed,10
E000533,S003933,C009792,2024-04-22,Dropped,44
E000534,S000032,C026849,2023-12-16,Active,27
E000535,S002046,C048530,2024-05-15,Dropped,19
E000536,S029841,C038619,2024-08-16,Dropped,52
E000537,S003361,C003441,2024-10-04,Completed,68
E000538,S018645,C029508,2024-09-15,Active,58
E000539,S036474,C032315,2023-02-19,Completed,78
E000540,S015294,C027860,2024-06-04,Dropped,47
E000541,S049371,C026347,2024-11-25,Completed,34
E000542,S042793,C031182,2024-08-02,Active,79
E000543,S000871,C018574,2024-01-15,Completed,62
E000544,S029392,C017933,2024-12-24,Completed,68
E000545,S020126,C002402,2024-05-22,Dropped,70
E000546,S038780,C035271,2024-11-26,Completed,32
E000547,S016687,C036971,2024-11-05,Active,52
E000548,S005440,C034071,2024-12-24,Active,85
E000549,S032538,C047362,2024-02-08,Active,79
E000550,S033449,C018087,2024-06-26,Active,47
E000551,S004211,C020049,2024-10-03,Active,87
E000552,S030955,C048528,2024-07-06,Completed,7
E000553,S041651,C024442,2024-12-13,Active,6
E000554,S003359,C043688,2024-12-26,Completed,49
E000555,S000934,C044839,2024-12-11,Dropped,68
E000556,S038375,C041997,2024-08-26,Active,89
E000557,S019209,C008191,2022-07-12,Active,53
E000558,S040510,C014245,2024-12-21,Active,98
